"","Street.Name","From","To","Block","Ward","Overall","Crack","Patch","Length","Width","Date.R8d","DLO","P","O.L","Flush_Oil","Class","Pvmt"
"157","Avondale Pl.","Greenwood Pl.","Wescott","100","17",6,4,3,605,27,"4/15","1997","",NA,"F","Local","No Base 3 Asphalt"
"158","Baker Ave.","Woodland","E. Borden","200","18",6,4,3,575,27,"5/14","1997","",NA,"F","Local","No Base 3 Asphalt"
"159","Baker Ave.","E. Borden","Elizabeth","300","19",7,4,3,600,27,"5/14","1997","",NA,"F","Local","No Base 3 Asphalt"
"160","Baldwin Ave.","W. Newell","Onon.Crk. Blvd.","100","13",6,3,2,1007,27,"4/15","1991","",NA,"O","Local","Base and Curbs"
"161","Ball Ave.","Mountainview","Delray","200","17",5,3,4,293,27,"5/14","1992","",NA,"O","Local","Base and Curbs"
"162","Ball Ave.","Delray","Fayette Blvd.","300","17",6,3,5,293,27,"6/16","1992","",NA,"O","Local","Base and Curbs"
"163","Ball Ave.","Fayette Blvd.","Harwood","400","17",6,3,4,293,27,"6/15","1992","",NA,"O","Local","Base and Curbs"
"164","Ball Ave.","Harwood","Milnor","500","17",6,3,4,279,27,"6/15","1992","",NA,"O","Local","Base and Curbs"
"165","Ball Ave.","Milnor","Salt Springs Rd.","600","17",6,3,4,264,27,"6/15","1992","",NA,"O","Local","Base and Curbs"
"166","Ball Cir.","E. Brighton","Ainsley Dr.","100","14",5,3,2,1031,26,"5/14","1980","",NA,"O","Local","Base and Curbs"
"167","Ballantyne Rd.","S. Salina","Sheldon","100","14",8,4,4,805,31,"5/14","2004","1990",NA,"F","Local","No Base Full Asphalt"
"168","Ballantyne Rd.","Sheldon","Slayton","200","14",8,4,5,335,31,"5/14","2004","1990",NA,"F","Local","Base and Curbs"
"169","Ballantyne Rd.","Slayton","Midland","300","14",8,4,3,395,31,"5/14","2004","1990",NA,"F","Local","Base and Curbs"
"170","Ballantyne Rd.","Midland","Pierce","400","13",4,3,2,275,31,"6/14","1990","",NA,"F","Local","No Base 3 Asphalt"
"171","Ballantyne Rd.","Pierce","Atlantic/Coral","500","13",4,3,2,380,31,"6/14","1990","",NA,"F","Local","No Base 3 Asphalt"
"172","Ballantyne Rd.","Atlantic/Coral","Evaleen","600","13",6,3,3,380,30,"6/14","1991","",NA,"O","Local","Base and Curbs"
"173","Ballantyne Rd.","Evaleen","Girard","700","13",6,3,3,250,30,"6/14","1991","",NA,"O","Local","Base and Curbs"
"174","Ballantyne Rd.","Girard","Empire","800","13",6,3,3,265,30,"6/14","1991","",NA,"O","Local","Base and Curbs"
"175","Ballantyne Rd.","Empire","Loomis","900","13",5,3,2,255,30,"6/14","1991","",NA,"O","Local","Base and Curbs"
"176","Ballantyne Rd.","Loomis","Shirley","1000","13",6,3,3,240,30,"6/14","1991","",NA,"O","Local","Base and Curbs"
"177","Ballantyne Rd.","Shirley","Valley Dr.","1100","13",6,3,3,350,30,"6/14","1991","",NA,"O","Local","Base and Curbs"
"178","Ballard Ave.","Castle","Cortland","100","12",5,3,3,375,NA,"3/15","1980","",NA,"O","Local","Base and Curbs"
"179","Bank Alley","Washington","Fayette St.","100","9",10,5,5,337,20,"10/13","2013","1996",NA,"F","Local","No Base 3 Asphalt"
"180","Bank Alley","Fayette St.","Jefferson","200","9",10,5,5,553,21,"10/13","2013","1996",NA,"F","Local","No Base 3 Asphalt"
"181","Barker Ave","Tracy","Wilkinson","100","2",5,2,4,178,30,"4/14","2001","1990",NA,"O","Local","Base and Curbs"
"182","Barker Ave","Wilkinson","Park","200","2",5,3,3,427,30,"4/14","1980","",NA,"F","Local","No Base 3 Asphalt"
"183","Barnes Ave.","Maurice","Marvin","100","13",5,3,3,317,27,"4/15","1991","",NA,"O","Local","Base and Curbs"
"184","Barnes Ave.","Marvin","Wente Terr.","200","13",5,3,2,361,27,"4/15","2004","1991",NA,"O","Local","Base and Curbs"
"185","Barnes Ave.","Wente Terr.","Valleyview","300","13",5,3,3,367,27,"4/15","2004","1991",NA,"O","Local","Base and Curbs"
"186","Barnes Ave.","Valleyview","St. Louis","400","13",6,3,4,352,27,"4/15","1996","",NA,"O","Local","Base and Curbs"
"187","Barnes Ave.","St. Louis","Camp","500","13",7,4,5,543,27,"4/15","1996","",NA,"O","Local","Base and Curbs"
"188","Barnes Ave.","Camp","Englewood","600","13",5,3,2,1408,28,"6/14","1980","",NA,"O","Local","Base and Curbs"
"189","Barnes Ave.","Englewood","Seneca Tnpk","700","13",5,3,2,279,28,"6/14","1980","",NA,"O","Local","Base and Curbs"
"190","Barrett Ave.","Merriman","dead end","100","10",7,3,4,50,33,"4/14","1990","",NA,"O","Local","Base and Curbs"
"191","Barrett Ave.","Davis","Merriman","100","10",6,2,3,325,33,"4/14","1990","",NA,"O","Local","Base and Curbs"
"192","Barrett Ave.","Sabine","Davis","200","10",6,3,4,587,33,"4/14","1990","",NA,"O","Local","Base and Curbs"
"193","Barrington Rd.","Salt Springs Rd","Beaumont Pl.","100","17",6,3,3,411,30,"6/15","1996","1985",NA,"O","Local","Base and Curbs"
"194","Barrington Rd.","Beaumont Pl.","Demong Dr.","200","17",6,3,3,763,30,"6/15","1996","",NA,"O","Local","Base and Curbs"
"195","Barrington Rd.","Demong Dr.","Wilson Pl.","300","17",7,3,4,748,30,"6/15","1980","",NA,"O","Local","Base and Curbs"
"196","Barrington Rd.","Wilson Pl.","Manor Dr","400","17",5,2,4,264,30,"6/15","2000","",NA,"O","Local","Base and Curbs"
"197","Basin St.","N. State/Catawba","Isabella","100","2",7,3,3,455,30,"4/15","2004","",NA,"F","Local","No Base Full Asphalt"
"198","Basin St.","Isabella","Kirkpatrick","200","2",6,3,2,484,30,"4/15","2004","",NA,"F","Local","No Base Full Asphalt"
